,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2
547,2018-01-21 12:00:00 +0000 UTC,1017,74,2,0,574,8.660952380952379,7.7528571428571444
548,2018-01-21 12:00:00 +0000 UTC,1017,74,2,0,574,7.206190476190477,6.133333333333334
549,2018-01-21 13:00:00 +0000 UTC,1017,69,1,0,574,7.464761904761905,6.75
550,2018-01-21 14:00:00 +0000 UTC,1017,69,1,0,574,9.131428571428572,7.657142857142859
551,2018-01-21 15:00:00 +0000 UTC,1018,86,1,150,574,6.366190476190475,5.857142857142857
552,2018-01-21 15:00:00 +0000 UTC,1018,86,1,150,574,5.279047619047619,4.576666666666666
553,2018-01-21 16:00:00 +0000 UTC,1018,97,1,200,574,4.801428571428571,4.069047619047621
554,2018-01-21 16:00:00 +0000 UTC,1018,97,1,200,574,5.248095238095237,4.377142857142857
555,2018-01-21 17:00:00 +0000 UTC,1018,100,2,130,574,5.21047619047619,4.03952380952381
556,2018-01-21 17:00:00 +0000 UTC,1018,100,2,130,574,4.5442857142857145,3.862857142857143
557,2018-01-21 18:00:00 +0000 UTC,1018,100,2,110,574,3.0942857142857143,2.5861904761904766
558,2018-01-21 18:00:00 +0000 UTC,1018,100,2,110,574,4.193809523809524,3.1328571428571426
559,2018-01-21 19:00:00 +0000 UTC,1018,100,2,130,574,3.5304761904761905,2.671904761904762
560,2018-01-21 19:00:00 +0000 UTC,1018,100,2,130,574,4.343333333333334,3.144761904761905
561,2018-01-21 19:00:00 +0000 UTC,1018,100,2,130,574,4.542857142857142,3.0319047619047614
562,2018-01-21 20:00:00 +0000 UTC,1018,100,3,150,574,4.177619047619047,2.913333333333333
563,2018-01-21 21:00:00 +0000 UTC,1018,100,1,160,574,4.413333333333334,3.2295238095238097
564,2018-01-21 22:00:00 +0000 UTC,1017,100,2,130,574,4.163333333333333,3.0376190476190477
565,2018-01-21 22:00:00 +0000 UTC,1017,100,2,130,574,4.176190476190477,2.8357142857142854
566,2018-01-21 23:00:00 +0000 UTC,1016,100,1,140,574,3.531428571428572,2.237619047619047
567,2018-01-21 23:00:00 +0000 UTC,1016,100,1,140,574,8.431428571428572,5.55095238095238
568,2018-01-21 23:00:00 +0000 UTC,1016,100,1,140,574,4.812857142857143,3.345714285714286
569,2018-01-22 00:00:00 +0000 UTC,1015,100,2,160,574,5.703333333333333,3.889047619047619
570,2018-01-22 00:00:00 +0000 UTC,1015,100,2,160,574,6.044761904761906,4.921428571428571
571,2018-01-22 00:00:00 +0000 UTC,1015,100,2,160,574,7.7004761904761905,5.815238095238095
572,2018-01-22 01:00:00 +0000 UTC,1015,100,0,0,574,5.665238095238097,4.555714285714286
573,2018-01-22 01:00:00 +0000 UTC,1015,100,0,0,574,5.081428571428572,3.8190476190476197
574,2018-01-22 01:00:00 +0000 UTC,1015,100,0,0,574,3.9638095238095237,2.8366666666666664
575,2018-01-22 02:00:00 +0000 UTC,1013,93,2,130,574,4.11047619047619,3.194761904761905
576,2018-01-22 02:00:00 +0000 UTC,1013,93,2,130,574,4.8585714285714285,3.811428571428572
577,2018-01-22 02:00:00 +0000 UTC,1013,93,2,130,574,4.501428571428572,3.4057142857142857
578,2018-01-22 03:00:00 +0000 UTC,1012,93,5,150,574,3.612380952380952,2.7485714285714287
579,2018-01-22 03:00:00 +0000 UTC,1012,93,5,150,574,4.2109523809523814,3.142380952380953
580,2018-01-22 04:00:00 +0000 UTC,1012,93,4,160,574,5.57904761904762,3.873333333333334
581,2018-01-22 04:00:00 +0000 UTC,1012,93,4,160,574,4.30095238095238,2.9361904761904762
582,2018-01-22 05:00:00 +0000 UTC,1012,93,4,170,574,4.333333333333333,3.039047619047619
583,2018-01-22 05:00:00 +0000 UTC,1012,93,4,170,574,3.8095238095238093,2.7157142857142857
584,2018-01-22 05:00:00 +0000 UTC,1012,93,4,170,574,4.32,2.9752380952380952
585,2018-01-22 06:00:00 +0000 UTC,1012,87,6,220,574,7.589047619047619,5.371428571428572
586,2018-01-22 06:00:00 +0000 UTC,1012,87,6,220,574,9.09047619047619,6.722380952380953
587,2018-01-22 06:00:00 +0000 UTC,1012,87,6,220,574,8.358571428571429,7.19142857142857
588,2018-01-22 07:00:00 +0000 UTC,1012,93,4,210,574,10.127142857142857,7.834761904761905
589,2018-01-22 07:00:00 +0000 UTC,1012,93,4,210,574,9.434761904761906,7.227142857142859
590,2018-01-22 07:00:00 +0000 UTC,1012,93,4,210,574,8.075238095238095,6.367619047619048
591,2018-01-22 09:00:00 +0000 UTC,1013,87,5,230,574,6.504285714285713,5.268571428571428
592,2018-01-22 09:00:00 +0000 UTC,1013,87,5,230,574,7.664285714285714,5.582857142857144
593,2018-01-22 10:00:00 +0000 UTC,1013,87,4,270,574,7.5685714285714285,6.072857142857143
